#AR	CL_-5	CL_15
6	 -0.3696776254	 1.097800409
7	 -0.3875503427	 1.150875507
8	 -0.4019823721	 1.193733085
9	 -0.4138864845	 1.229083722
10	 -0.4238801035	 1.258760928
11	 -0.4323949189	 1.284046656
12	 -0.4397414994	 1.305863175
13	 -0.4461488658	 1.32489059
14	 -0.4517895723	 1.341641319
15	 -0.4567960993	 1.35650878
16	 -0.4612718595	 1.369800066
17	 -0.465298771	 1.381758445
18	 -0.4689425804	 1.392579158
19	 -0.4722566786	 1.402420756
20	 -0.4752848837	 1.41141336
21	 -0.4780635036	 1.419664793
22	 -0.4806228859	 1.427265175
23	 -0.4829885991	 1.434290433
24	 -0.4851823424	 1.440805007
25	 -0.4872226547	 1.44686395
26	 -0.4891254735	 1.45251459
27	 -0.4909045778	 1.457797846
28	 -0.4925719442	 1.462749283
29	 -0.4941380339	 1.467399968
30	 -0.4956120266	 1.471777159
31	 -0.4970020121	 1.475904882
32	 -0.4983151484	 1.479804391
33	 -0.4995577932	 1.483494569
34	 -0.5007356132	 1.486992241
35	 -0.5018536764	 1.490312459
36	 -0.5029165295	 1.493468724
37	 -0.5039282637	 1.496473186
38	 -0.5048925708	 1.499336807
39	 -0.5058127911	 1.502069508
40	 -0.5066919547	 1.504680285
41	 -0.5075328166	 1.507177322
42	 -0.5083378879	 1.509568074
43	 -0.509109462	 1.511859353
44	 -0.5098496381	 1.514057391
45	 -0.5105603415	 1.516167907
46	 -0.5112433411	 1.518196153
47	 -0.5119002654	 1.520146966
48	 -0.5125326161	 1.522024804
49	 -0.5131417804	 1.523833788
50	 -0.5137290415	 1.525577727

