#AR	CL_-5	CL_15	CM_-5	CM_15
0.0	 -0.3696776254	 1.097800409	 0.09241940634	 -0.2744501021 
2.5	 -0.3693851129	 1.096931759	 0.1138118186	 -0.3379773412 
5.0	 -0.3686776873	 1.094830977	 0.1352355976	 -0.4015977275 
7.5	 -0.3675518095	 1.091487553	 0.1567029821	 -0.4653476054 
10.0	 -0.3660014906	 1.086883702	 0.1782258424	 -0.5292622252 
12.5	 -0.3640183274	 1.08099447	 0.1998153344	 -0.5933747154 
15.0	 -0.3615915567	 1.073787894	 0.2214815385	 -0.6577150109 
17.5	 -0.3587081336	 1.065225236	 0.2432330821	 -0.7223087322 
20.0	 -0.3553528409	 1.055261306	 0.2650767455	 -0.7871760138 
22.5	 -0.3515084373	 1.043844906	 0.2870170516	 -0.8523302869 
25.0	 -0.3471558541	 1.030919407	 0.3090558439	 -0.9177770264 
27.5	 -0.3422744489	 1.016423511	 0.3311918609	 -0.9835124856 
30.0	 -0.3368423254	 1.000292193	 0.3534203159	 -1.04952245 
32.5	 -0.330836726	 0.9824578714	 0.3757324998	 -1.115781057 
35.0	 -0.3242344988	 0.9628517952	 0.3981154246	 -1.182249738 
37.5	 -0.3170126378	 0.9414056449	 0.4205515321	 -1.248876351 
40.0	 -0.3091488828	 0.918053316	 0.4430184929	 -1.315594586 
42.5	 -0.3006223582	 0.8927328163	 0.4654891209	 -1.382323711 
45.0	 -0.2914142159	 0.8653881742	 0.4879314286	 -1.448968736 
47.5	 -0.2815082354	 0.8359712209	 0.5103088398	 -1.515421044 
50.0	 -0.2708913234	 0.8044430744	 0.5325805742	 -1.581559531 
52.5	 -0.2595538538	 0.770775149	 0.5547022161	 -1.647252302 
55.0	 -0.2474897924	 0.7349495252	 0.5766265003	 -1.712358996 
57.5	 -0.2346965732	 0.696958583	 0.5983043977	 -1.776734017 
60.0	 -0.2211747231	 0.6568038873	 0.6196867024	 -1.84023124 
62.5	 -0.2069272504	 0.6144943713	 0.6407264186	 -1.902711108 
65.0	 -0.1919587471	 0.570043672	 0.6613819513	 -1.964050098 
67.5	 -0.1762739037	 0.5234657176	 0.6816192702	 -2.024147154 
70.0	 -0.1598748221	 0.4747667508	 0.7014072704	 -2.082909906 
72.5	 -0.1427569431	 0.4239332319	 0.7206989972	 -2.140198917 
75.0	 -0.1249049821	 0.3709197716	 0.739400474	 -2.195735113 
77.5	 -0.1062912232	 0.3156440646	 0.7573438127	 -2.24901993 
80.0	 -0.08687583875	 0.2579878379	 0.7742671112	 -2.299275619 

